TYPEOFMALLOC: JE Malloc , TID: 1895789 , TIME: 83 ns 
TYPEOFMALLOC: JE Malloc , TID: 1895793 , TIME: 83 ns 
TYPEOFMALLOC: JE Malloc , TID: 1895792 , TIME: 84 ns 
TYPEOFMALLOC: JE Malloc , TID: 1895790 , TIME: 41 ns 
TYPEOFMALLOC: JE Malloc , TID: 1895791 , TIME: 41 ns 
TYPEOFMALLOC: JE Malloc , TID: 1895789 , TIME: 0 ns 
TYPEOFMALLOC: JE Malloc , TID: 1895793 , TIME: 83 ns 
TYPEOFMALLOC: JE Malloc , TID: 1895792 , TIME: 42 ns 
TYPEOFMALLOC: JE Malloc , TID: 1895790 , TIME: 0 ns 
TYPEOFMALLOC: JE Malloc , TID: 1895791 , TIME: 41 ns 
TYPEOFMALLOC: JE Malloc , TID: 1895789 , TIME: 0 ns 
TYPEOFMALLOC: JE Malloc , TID: 1895793 , TIME: 42 ns 
TYPEOFMALLOC: JE Malloc , TID: 1895792 , TIME: 42 ns 
TYPEOFMALLOC: JE Malloc , TID: 1895790 , TIME: 42 ns 
TYPEOFMALLOC: JE Malloc , TID: 1895791 , TIME: 41 ns 
TYPEOFMALLOC: JE Malloc , TID: 1895789 , TIME: 0 ns 
TYPEOFMALLOC: JE Malloc , TID: 1895793 , TIME: 0 ns 
TYPEOFMALLOC: JE Malloc , TID: 1895792 , TIME: 42 ns 
TYPEOFMALLOC: JE Malloc , TID: 1895790 , TIME: 42 ns 
TYPEOFMALLOC: JE Malloc , TID: 1895791 , TIME: 0 ns 
TYPEOFMALLOC: JE Malloc , TID: 1895789 , TIME: 0 ns 
TYPEOFMALLOC: JE Malloc , TID: 1895793 , TIME: 42 ns 
TYPEOFMALLOC: JE Malloc , TID: 1895792 , TIME: 42 ns 
TYPEOFMALLOC: JE Malloc , TID: 1895790 , TIME: 0 ns 
TYPEOFMALLOC: JE Malloc , TID: 1895791 , TIME: 41 ns 
TYPEOFMALLOC: JE Malloc , TID: 1895789 , TIME: 0 ns 
TYPEOFMALLOC: JE Malloc , TID: 1895793 , TIME: 42 ns 
TYPEOFMALLOC: JE Malloc , TID: 1895792 , TIME: 42 ns 
TYPEOFMALLOC: JE Malloc , TID: 1895790 , TIME: 41 ns 
TYPEOFMALLOC: JE Malloc , TID: 1895791 , TIME: 42 ns 
TYPEOFMALLOC: JE Malloc , TID: 1895789 , TIME: 41 ns 
TYPEOFMALLOC: JE Malloc , TID: 1895793 , TIME: 42 ns 
TYPEOFMALLOC: JE Malloc , TID: 1895792 , TIME: 42 ns 
TYPEOFMALLOC: JE Malloc , TID: 1895790 , TIME: 42 ns 
TYPEOFMALLOC: JE Malloc , TID: 1895791 , TIME: 42 ns 
TYPEOFMALLOC: JE Malloc , TID: 1895789 , TIME: 41 ns 
TYPEOFMALLOC: JE Malloc , TID: 1895793 , TIME: 41 ns 
TYPEOFMALLOC: JE Malloc , TID: 1895792 , TIME: 42 ns 
TYPEOFMALLOC: JE Malloc , TID: 1895790 , TIME: 41 ns 
TYPEOFMALLOC: JE Malloc , TID: 1895791 , TIME: 42 ns 
TYPEOFMALLOC: JE Malloc , TID: 1895789 , TIME: 42 ns 
TYPEOFMALLOC: JE Malloc , TID: 1895793 , TIME: 41 ns 
TYPEOFMALLOC: JE Malloc , TID: 1895792 , TIME: 0 ns 
TYPEOFMALLOC: JE Malloc , TID: 1895790 , TIME: 42 ns 
TYPEOFMALLOC: JE Malloc , TID: 1895791 , TIME: 0 ns 
TYPEOFMALLOC: JE Malloc , TID: 1895789 , TIME: 42 ns 
TYPEOFMALLOC: JE Malloc , TID: 1895793 , TIME: 41 ns 
TYPEOFMALLOC: JE Malloc , TID: 1895792 , TIME: 0 ns 
TYPEOFMALLOC: JE Malloc , TID: 1895790 , TIME: 42 ns 
TYPEOFMALLOC: JE Malloc , TID: 1895791 , TIME: 0 ns 
TYPEOFMALLOC: Default Malloc , TID: 1896124 , TIME: 209 ns 
TYPEOFMALLOC: Default Malloc , TID: 1896125 , TIME: 333 ns 
TYPEOFMALLOC: Default Malloc , TID: 1896126 , TIME: 333 ns 
TYPEOFMALLOC: Default Malloc , TID: 1896127 , TIME: 291 ns 
TYPEOFMALLOC: Default Malloc , TID: 1896128 , TIME: 333 ns 
TYPEOFMALLOC: Default Malloc , TID: 1896124 , TIME: 584 ns 
TYPEOFMALLOC: Default Malloc , TID: 1896125 , TIME: 250 ns 
TYPEOFMALLOC: Default Malloc , TID: 1896126 , TIME: 333 ns 
TYPEOFMALLOC: Default Malloc , TID: 1896127 , TIME: 208 ns 
TYPEOFMALLOC: Default Malloc , TID: 1896126 , TIME: 375 ns 
TYPEOFMALLOC: Default Malloc , TID: 1896124 , TIME: 292 ns 
TYPEOFMALLOC: Default Malloc , TID: 1896125 , TIME: 375 ns 
TYPEOFMALLOC: Default Malloc , TID: 1896128 , TIME: 500 ns 
TYPEOFMALLOC: Default Malloc , TID: 1896127 , TIME: 167 ns 
TYPEOFMALLOC: Default Malloc , TID: 1896126 , TIME: 125 ns 
TYPEOFMALLOC: Default Malloc , TID: 1896124 , TIME: 375 ns 
TYPEOFMALLOC: Default Malloc , TID: 1896125 , TIME: 250 ns 
TYPEOFMALLOC: Default Malloc , TID: 1896128 , TIME: 167 ns 
TYPEOFMALLOC: Default Malloc , TID: 1896127 , TIME: 541 ns 
TYPEOFMALLOC: Default Malloc , TID: 1896126 , TIME: 500 ns 
TYPEOFMALLOC: Default Malloc , TID: 1896124 , TIME: 334 ns 
