TYPEOFMALLOC: JE Malloc , TID: 1895789  , TIME: 56417 ns , Fragmentation: 6.54% 
TYPEOFMALLOC: JE Malloc , TID: 1895793  , TIME: 34208 ns , Fragmentation: 6.54% 
TYPEOFMALLOC: JE Malloc , TID: 1895792  , TIME: 52625 ns , Fragmentation: 6.54% 
TYPEOFMALLOC: JE Malloc , TID: 1895790  , TIME: 88084 ns , Fragmentation: 6.54% 
TYPEOFMALLOC: JE Malloc , TID: 1895791  , TIME: 89667 ns , Fragmentation: 6.54% 
TYPEOFMALLOC: JE Malloc , TID: 1895789  , TIME: 42 ns , Fragmentation: 8.69% 
TYPEOFMALLOC: JE Malloc , TID: 1895793  , TIME: 1500 ns , Fragmentation: 10.29% 
TYPEOFMALLOC: JE Malloc , TID: 1895792  , TIME: 1584 ns , Fragmentation: 16.02% 
TYPEOFMALLOC: JE Malloc , TID: 1895790  , TIME: 0 ns , Fragmentation: 6.74% 
TYPEOFMALLOC: JE Malloc , TID: 1895791  , TIME: 1583 ns , Fragmentation: 3.12% 
TYPEOFMALLOC: JE Malloc , TID: 1895789  , TIME: 1833 ns , Fragmentation: 7.29% 
TYPEOFMALLOC: JE Malloc , TID: 1895793  , TIME: 2375 ns , Fragmentation: 4.02% 
TYPEOFMALLOC: JE Malloc , TID: 1895792  , TIME: 1584 ns , Fragmentation: 9.82% 
TYPEOFMALLOC: JE Malloc , TID: 1895790  , TIME: 1542 ns , Fragmentation: 10.00% 
TYPEOFMALLOC: JE Malloc , TID: 1895791  , TIME: 1416 ns , Fragmentation: 7.29% 
TYPEOFMALLOC: JE Malloc , TID: 1895789  , TIME: 41 ns , Fragmentation: 9.08% 
TYPEOFMALLOC: JE Malloc , TID: 1895793  , TIME: 1625 ns , Fragmentation: 5.78% 
TYPEOFMALLOC: JE Malloc , TID: 1895792  , TIME: 1542 ns , Fragmentation: 0.33% 
TYPEOFMALLOC: JE Malloc , TID: 1895790  , TIME: 0 ns , Fragmentation: 10.64% 
TYPEOFMALLOC: JE Malloc , TID: 1895791  , TIME: 41 ns , Fragmentation: 2.08% 
TYPEOFMALLOC: JE Malloc , TID: 1895789  , TIME: 1500 ns , Fragmentation: 14.45% 
TYPEOFMALLOC: JE Malloc , TID: 1895793  , TIME: 1709 ns , Fragmentation: 3.12% 
TYPEOFMALLOC: JE Malloc , TID: 1895792  , TIME: 0 ns , Fragmentation: 9.38% 
TYPEOFMALLOC: JE Malloc , TID: 1895790  , TIME: 1417 ns , Fragmentation: 11.16% 
TYPEOFMALLOC: JE Malloc , TID: 1895791  , TIME: 1250 ns , Fragmentation: 7.59% 
TYPEOFMALLOC: JE Malloc , TID: 1895789  , TIME: 42 ns , Fragmentation: 5.00% 
TYPEOFMALLOC: JE Malloc , TID: 1895793  , TIME: 1334 ns , Fragmentation: 18.12% 
TYPEOFMALLOC: JE Malloc , TID: 1895792  , TIME: 0 ns , Fragmentation: 1.95% 
TYPEOFMALLOC: JE Malloc , TID: 1895790  , TIME: 1417 ns , Fragmentation: 0.20% 
TYPEOFMALLOC: JE Malloc , TID: 1895791  , TIME: 1792 ns , Fragmentation: 1.09% 
TYPEOFMALLOC: JE Malloc , TID: 1895789  , TIME: 1667 ns , Fragmentation: 2.01% 
TYPEOFMALLOC: JE Malloc , TID: 1895793  , TIME: 0 ns , Fragmentation: 11.72% 
TYPEOFMALLOC: JE Malloc , TID: 1895792  , TIME: 42 ns , Fragmentation: 12.05% 
TYPEOFMALLOC: JE Malloc , TID: 1895790  , TIME: 1208 ns , Fragmentation: 18.91% 
TYPEOFMALLOC: JE Malloc , TID: 1895791  , TIME: 0 ns , Fragmentation: 0.11% 
TYPEOFMALLOC: JE Malloc , TID: 1895789  , TIME: 1417 ns , Fragmentation: 7.97% 
TYPEOFMALLOC: JE Malloc , TID: 1895793  , TIME: 1625 ns , Fragmentation: 8.59% 
TYPEOFMALLOC: JE Malloc , TID: 1895792  , TIME: 1542 ns , Fragmentation: 5.78% 
TYPEOFMALLOC: JE Malloc , TID: 1895790  , TIME: 1750 ns , Fragmentation: 5.99% 
TYPEOFMALLOC: JE Malloc , TID: 1895791  , TIME: 1333 ns , Fragmentation: 6.25% 
TYPEOFMALLOC: JE Malloc , TID: 1895789  , TIME: 42 ns , Fragmentation: 0.78% 
TYPEOFMALLOC: JE Malloc , TID: 1895793  , TIME: 1375 ns , Fragmentation: 0.39% 
TYPEOFMALLOC: JE Malloc , TID: 1895792  , TIME: 1458 ns , Fragmentation: 4.10% 
TYPEOFMALLOC: JE Malloc , TID: 1895790  , TIME: 0 ns , Fragmentation: 6.84% 
TYPEOFMALLOC: JE Malloc , TID: 1895791  , TIME: 1292 ns , Fragmentation: 11.52% 
TYPEOFMALLOC: JE Malloc , TID: 1895789  , TIME: 1500 ns , Fragmentation: 7.50% 
TYPEOFMALLOC: JE Malloc , TID: 1895793  , TIME: 0 ns , Fragmentation: 11.07% 
TYPEOFMALLOC: JE Malloc , TID: 1895792  , TIME: 1584 ns , Fragmentation: 8.85% 
TYPEOFMALLOC: JE Malloc , TID: 1895790  , TIME: 0 ns , Fragmentation: 10.94% 
TYPEOFMALLOC: JE Malloc , TID: 1895791  , TIME: 1375 ns , Fragmentation: 0.00% 
TYPEOFMALLOC: Default Malloc , TID: 1896124  , TIME: 9208 ns , Fragmentation: 0.45% 
TYPEOFMALLOC: Default Malloc , TID: 1896125  , TIME: 11500 ns , Fragmentation: 0.45% 
TYPEOFMALLOC: Default Malloc , TID: 1896126  , TIME: 12125 ns , Fragmentation: 0.45% 
TYPEOFMALLOC: Default Malloc , TID: 1896127  , TIME: 334 ns , Fragmentation: 0.45% 
TYPEOFMALLOC: Default Malloc , TID: 1896128  , TIME: 167 ns , Fragmentation: 0.45% 
TYPEOFMALLOC: Default Malloc , TID: 1896124  , TIME: 542 ns , Fragmentation: 1.74% 
TYPEOFMALLOC: Default Malloc , TID: 1896125  , TIME: 208 ns , Fragmentation: 2.53% 
TYPEOFMALLOC: Default Malloc , TID: 1896126  , TIME: 292 ns , Fragmentation: 1.64% 
